id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;G05Q07;G01Q08;G01Q09;G01Q10;G01Q11;G01Q13;G01Q12;G01Confiance[SQ001];G01Confiance[SQ002];G01Confiance[SQ003];G01Confiance[SQ004];G01Confiance[SQ005];G01Confiance[SQ006];G01Confiance[SQ007];G01Confiance[SQ008];G01Confiance[SQ009];G01Confiance[SQ010];G01Confiance[SQ011];G01Confiance[SQ012];G01Confiance[SQ013];G01Confiance[SQ014];G01Confiance[SQ015];G02Affection[SQ001];G02Affection[SQ002];G02Affection[SQ003];G02Affection[SQ004];G02Affection[SQ005];G02Affection[SQ006];G02Affection[SQ007];G02Affection[SQ008];G02Affection[SQ009];G02Affection[SQ010];G03Cognitive[SQ001];G03Cognitive[SQ002];G03Cognitive[SQ003];G03Cognitive[SQ004];G03Cognitive[SQ005]
1;24/05/2023 14:50;5;fr;1148212646;24/05/2023 14:43;24/05/2023 14:50;Femme;52;Génie industriel ;25;OUI;;2;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas d'accord;Pas d'accord;Pas d'accord;Pas du tout d'accord;D'accord;Un peu d'accord;Pas d'accord;Pas du tout d'accord;Tout à fait d'accord;Un peu d'accord;Un peu d'accord;Un peu d'accord;Un peu d'accord;Pas du tout d'accord;Un peu d'accord;Pas du tout d'accord;Un peu d'accord;D'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas d'accord;Pas d'accord;Un peu d'accord;Pas d'accord;Un peu d'accord;Tout à fait d'accord
2;25/05/2023 15:11;5;fr;1530647408;25/05/2023 14:41;25/05/2023 15:11;Homme;45;Mécanique;23;OUI;Oculus, Hololens;4;Tout à fait d'accord;Un peu d'accord;Pas du tout d'accord;D'accord;D'accord;D'accord;Pas du tout d'accord;D'accord;Pas du tout d'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;D'accord;Tout à fait d'accord;Pas du tout d'accord;D'accord;Pas du tout d'accord;Tout à fait d'accord;Pas d'accord;Pas du tout d'accord;Pas d'accord;Tout à fait d'accord;Tout à fait d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord
3;31/05/2023 15:49;5;fr;1996370989;31/05/2023 15:41;31/05/2023 15:49;Homme;35;fabrication additive  recyclage distribué;7;OUI;Unity is a very well know platefomr of development Blender for the creation of scenarios and virtual enviromentes Technology of hololens for Ar as gadget demo;1;D'accord;Un peu d'accord;Pas d'accord;D'accord;Un peu d'accord;Un peu d'accord;Pas du tout d'accord;D'accord;Un peu d'accord;D'accord;Pas d'accord;Pas d'accord;D'accord;Tout à fait d'accord;Pas du tout d'accord;Pas d'accord;Pas d'accord;D'accord;Pas d'accord;Pas d'accord;Pas d'accord;Tout à fait d'accord;D'accord;Pas d'accord;D'accord;Pas d'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord
4;08/06/2023 14:16;5;fr;549370105;08/06/2023 14:10;08/06/2023 14:16;Homme;53;Aide à la décision / Innovation ;22;OUI;Microsoft hololens, Metaverse (Facebook), Samsung;2;Un peu d'accord;D'accord;Un peu d'accord;D'accord;D'accord;D'accord;Un peu d'accord;Un peu d'accord;D'accord;Pas d'accord;Pas d'accord;Pas d'accord;D'accord;D'accord;Pas du tout d'accord;Pas du tout d'accord;Pas d'accord;D'accord;Pas d'accord;Pas d'accord;Pas d'accord;D'accord;Un peu d'accord;Pas du tout d'accord;Un peu d'accord;Pas d'accord;Pas du tout d'accord;Pas d'accord;Pas d'accord;D'accord
5;08/06/2023 14:53;5;fr;560127646;08/06/2023 14:49;08/06/2023 14:53;Homme;28;logiciel;2;OUI;Sony, Meta, HTC, Ubisoft;4;Tout à fait d'accord;D'accord;Pas du tout d'accord;Tout à fait d'accord;Tout à fait d'accord;Un peu d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas d'accord;D'accord;Pas du tout d'accord;Pas d'accord;D'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord;D'accord;Pas du tout d'accord;D'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas d'accord;D'accord
6;08/06/2023 15:09;5;fr;1540059977;08/06/2023 15:03;08/06/2023 15:09;Homme;22;vr ;5;OUI;Meta HTC vuforia varjo pico apple(récent);4;D'accord;Tout à fait d'accord;Pas d'accord;D'accord;D'accord;Un peu d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas d'accord;Tout à fait d'accord;D'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;D'accord;Pas d'accord;Pas d'accord;Pas d'accord;Un peu d'accord;D'accord;Pas du tout d'accord;Tout à fait d'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas d'accord;Tout à fait d'accord
7;08/06/2023 15:55;5;fr;546413139;08/06/2023 15:49;08/06/2023 15:55;Homme;23;Électrotechnique/Ingénierie;0;OUI;HTC Vive, Oculus, Apple, Google Glass, Playstation VR;3;D'accord;Un peu d'accord;Pas d'accord;D'accord;D'accord;D'accord;Pas du tout d'accord;Pas d'accord;Pas d'accord;D'accord;Pas du tout d'accord;Pas d'accord;Tout à fait d'accord;D'accord;Pas du tout d'accord;Pas d'accord;Pas du tout d'accord;D'accord;Tout à fait d'accord;Pas du tout d'accord;Pas d'accord;D'accord;Un peu d'accord;Pas du tout d'accord;D'accord;Pas d'accord;Pas d'accord;Pas du tout d'accord;Pas d'accord;D'accord
8;16/06/2023 15:09;5;fr;1511836272;16/06/2023 15:02;16/06/2023 15:09;Homme;25;électronique des system embarqué  ;0;NON;;3;Tout à fait d'accord;Tout à fait d'accord;Pas du tout d'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;Pas du tout d'accord;D'accord;Pas du tout d'accord;Un peu d'accord;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord;Tout à fait d'accord;Pas du tout d'accord;Un peu d'accord;Tout à fait d'accord;Tout à fait d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Un peu d'accord;Tout à fait d'accord
9;16/06/2023 15:49;5;fr;1740741293;16/06/2023 15:43;16/06/2023 15:49;Femme;29;Business;5;NON;;3;Tout à fait d'accord;Un peu d'accord;Un peu d'accord;D'accord;D'accord;D'accord;Un peu d'accord;Un peu d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Un peu d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas d'accord;Pas d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Un peu d'accord;Tout à fait d'accord;Un peu d'accord;Pas d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Un peu d'accord;Tout à fait d'accord
10;20/06/2023 09:40;5;fr;170860938;20/06/2023 09:35;20/06/2023 09:40;Femme;34;innovation, aide à la décision;10;OUI;"casques de réalité virtuelle type ""oculus"", google glasses, applications en ligne pour tester des lunettes / bijoux/ vêtements, ...  ";2;D'accord;Un peu d'accord;Pas d'accord;D'accord;D'accord;D'accord;Pas du tout d'accord;Un peu d'accord;Pas du tout d'accord;D'accord;Pas d'accord;Pas d'accord;D'accord;Tout à fait d'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;D'accord;Tout à fait d'accord;Pas du tout d'accord;Pas d'accord;Un peu d'accord;Pas d'accord;Pas du tout d'accord;Un peu d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas d'accord;Pas d'accord;Un peu d'accord
11;23/06/2023 10:31;5;fr;2057356142;23/06/2023 10:23;23/06/2023 10:31;Femme;45;Evaluation de la durabilité;15;OUI;Je ne sais pas;4;Tout à fait d'accord;Un peu d'accord;Tout à fait d'accord;Pas d'accord;Un peu d'accord;Un peu d'accord;Pas d'accord;Un peu d'accord;Pas du tout d'accord;Un peu d'accord;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Un peu d'accord;Un peu d'accord;Pas d'accord;Un peu d'accord;Un peu d'accord;Pas d'accord;Pas du tout d'accord;D'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas d'accord;Tout à fait d'accord
12;30/06/2023 09:45;5;fr;1557367843;30/06/2023 09:40;30/06/2023 09:45;Homme;35;Innovation et gestion stratégique;7;OUI;Microsoft, Oculus, Appel, Steam;4;Tout à fait d'accord;Tout à fait d'accord;Pas du tout d'accord;D'accord;Tout à fait d'accord;D'accord;Pas du tout d'accord;D'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;D'accord;Tout à fait d'accord;Pas du tout d'accord;D'accord;Pas d'accord;Pas d'accord;Pas du tout d'accord;Un peu d'accord;D'accord
13;10/07/2023 13:53;5;fr;1934236185;10/07/2023 13:49;10/07/2023 13:53;Homme;23;INNOVATION;6;OUI;APPLE. GOOGLE.;3;Tout à fait d'accord;Un peu d'accord;Pas d'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;Pas d'accord;Tout à fait d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;D'accord;Tout à fait d'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;Un peu d'accord;Pas d'accord;D'accord;Pas d'accord;Pas d'accord;Pas d'accord;Pas du tout d'accord;D'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas d'accord;Tout à fait d'accord
14;20/07/2023 13:06;5;fr;1232299422;20/07/2023 13:02;20/07/2023 13:06;Femme;27;UX design / webdesign / communication;0;NON;;3;Pas d'accord;Un peu d'accord;Pas du tout d'accord;Tout à fait d'accord;D'accord;D'accord;Pas du tout d'accord;Un peu d'accord;Pas d'accord;D'accord;Pas du tout d'accord;Pas d'accord;Tout à fait d'accord;Tout à fait d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;D'accord;Pas d'accord;Pas d'accord;Pas d'accord;D'accord;Un peu d'accord;Pas du tout d'accord;Un peu d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas d'accord;Pas d'accord;D'accord
