id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;G01Q01;G01Q02;G01Q03;G02Q04;G02Q05;G02Q06;G02Q07;G03Q08;G03Q09;G03Q10;G04Q11;G04Q12;G04Q13;G04Q14;G05Q15;G05Q16;G05Q17;G06Q18;G06Q19;G06Q20;G07Q21;G07Q22;G07Q23;G08Q24;G08Q25;G08Q26;G08Q27
1;24/05/2023 15:45;8;fr;1060233116;24/05/2023 15:38;24/05/2023 15:45;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Neutre;Neutre;Neutre;D'accord;Pas d'accord;Pas d'accord;Pas d'accord;D'accord;Neutre;D'accord;Tout à fait d'accord;D'accord;D'accord;D'accord;Neutre;Pas d'accord;Neutre;Neutre;Pas d'accord;Pas d'accord;Parfois;Parfois;Souvent;Souvent
2;25/05/2023 15:49;8;fr;813306880;25/05/2023 15:45;25/05/2023 15:49;D'accord;D'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;D'accord;D'accord;D'accord;D'accord;D'accord;D'accord;D'accord;D'accord;Tout à fait d'accord;Neutre;D'accord;Pas d'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;Tout à fait d'accord;Parfois;Parfois;Parfois;Parfois
3;31/05/2023 16:28;8;fr;338417281;31/05/2023 16:22;31/05/2023 16:28;Pas d'accord;Pas d'accord;Pas d'accord;Neutre;Neutre;Neutre;Neutre;Pas d'accord;Pas d'accord;Pas d'accord;D'accord;Neutre;Pas d'accord;Tout à fait d'accord;Pas d'accord;Pas d'accord;Pas d'accord;Pas d'accord;Pas d'accord;Pas d'accord;Neutre;Pas d'accord;Pas d'accord;Parfois;Parfois;Parfois;Parfois
4;08/06/2023 14:41;8;fr;628210145;08/06/2023 14:35;08/06/2023 14:41;D'accord;Neutre;D'accord;D'accord;D'accord;D'accord;Tout à fait d'accord;Pas d'accord;Pas d'accord;Pas d'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;Neutre;D'accord;Neutre;D'accord;Pas d'accord;Neutre;D'accord;D'accord;Neutre;Jamais;Parfois;Souvent;Souvent
5;08/06/2023 15:20;8;fr;713939778;08/06/2023 15:15;08/06/2023 15:20;Tout à fait d'accord;Neutre;Tout à fait d'accord;D'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;D'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;Neutre;Tout à fait d'accord;Tout à fait d'accord;Tout à fait d'accord;Tout à fait d'accord;Souvent;Souvent;Toujours;Toujours
6;08/06/2023 15:46;8;fr;1941939317;08/06/2023 15:41;08/06/2023 15:46;D'accord;D'accord;D'accord;Neutre;Neutre;Pas d'accord;Tout à fait d'accord;Neutre;Neutre;Neutre;Tout à fait d'accord;Tout à fait d'accord;Neutre;Tout à fait d'accord;Neutre;Pas d'accord;Pas d'accord;Tout à fait d'accord;Pas du tout d'accord;D'accord;D'accord;D'accord;D'accord;Souvent;Parfois;Toujours;Souvent
7;08/06/2023 16:35;8;fr;1237915410;08/06/2023 16:20;08/06/2023 16:35;Tout à fait d'accord;D'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;D'accord;D'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;D'accord;Neutre;Tout à fait d'accord;D'accord;D'accord;Neutre;D'accord;Neutre;Neutre;Neutre;Jamais;Jamais;Souvent;Parfois
9;16/06/2023 15:43;8;fr;2118770591;16/06/2023 15:38;16/06/2023 15:43;Tout à fait d'accord;D'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;D'accord;Pas d'accord;Neutre;Tout à fait d'accord;Tout à fait d'accord;D'accord;Neutre;Neutre;D'accord;D'accord;D'accord;D'accord;D'accord;D'accord;D'accord;D'accord;Parfois;Parfois;Parfois;Parfois
10;16/06/2023 16:07;8;fr;1125901126;16/06/2023 15:48;16/06/2023 16:07;D'accord;Neutre;Neutre;Tout à fait d'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;Neutre;Pas d'accord;D'accord;D'accord;D'accord;D'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;Neutre;D'accord;Jamais;Jamais;Souvent;Souvent
11;20/06/2023 10:23;8;fr;1939806635;20/06/2023 10:19;20/06/2023 10:23;D'accord;Neutre;D'accord;Tout à fait d'accord;D'accord;D'accord;D'accord;D'accord;D'accord;D'accord;Tout à fait d'accord;D'accord;Neutre;Tout à fait d'accord;D'accord;D'accord;Neutre;Neutre;Neutre;D'accord;Neutre;Neutre;Neutre;Jamais;Parfois;Parfois;Parfois
12;23/06/2023 11:07;8;fr;1166719476;23/06/2023 11:01;23/06/2023 11:07;Tout à fait d'accord;Tout à fait d'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;D'accord;D'accord;D'accord;Neutre;D'accord;D'accord;Tout à fait d'accord;Tout à fait d'accord;Tout à fait d'accord;D'accord;D'accord;Neutre;Tout à fait d'accord;D'accord;D'accord;D'accord;Jamais;Jamais;Souvent;Parfois
13;30/06/2023 10:23;8;fr;1297321843;30/06/2023 10:18;30/06/2023 10:23;Neutre;D'accord;Neutre;D'accord;Neutre;D'accord;D'accord;Pas d'accord;Pas d'accord;Neutre;D'accord;D'accord;Pas d'accord;D'accord;Pas d'accord;Neutre;Pas d'accord;Neutre;Pas d'accord;Neutre;Neutre;Pas d'accord;Pas d'accord;Parfois;Parfois;Souvent;Toujours
14;10/07/2023 14:23;8;fr;1008299487;10/07/2023 14:18;10/07/2023 14:23;D'accord;D'accord;D'accord;D'accord;D'accord;D'accord;D'accord;Neutre;Pas d'accord;Pas d'accord;Neutre;D'accord;Pas d'accord;D'accord;Neutre;Tout à fait d'accord;Neutre;D'accord;Pas d'accord;Tout à fait d'accord;D'accord;D'accord;D'accord;Parfois;Parfois;Parfois;Souvent
15;20/07/2023 14:10;8;fr;1608402625;20/07/2023 14:06;20/07/2023 14:10;Pas d'accord;Pas d'accord;Pas d'accord;Tout à fait d'accord;Tout à fait d'accord;Tout à fait d'accord;Tout à fait d'accord;Pas d'accord;Pas d'accord;Pas d'accord;Neutre;Tout à fait d'accord;D'accord;D'accord;D'accord;Tout à fait d'accord;D'accord;Neutre;Pas d'accord;Pas d'accord;Pas d'accord;Pas d'accord;Pas d'accord;Jamais;Jamais;Jamais;Jamais
